類別：所有類別

天,中工: (台灣)
2017-06-01,31
2017-06-02,23
2017-06-03,27
2017-06-04,34
2017-06-05,21
2017-06-06,32
2017-06-07,31
2017-06-08,29
2017-06-09,31
2017-06-10,20
2017-06-11,22
2017-06-12,36
2017-06-13,35
2017-06-14,33
2017-06-15,20
2017-06-16,35
2017-06-17,32
2017-06-18,30
2017-06-19,32
2017-06-20,44
2017-06-21,37
2017-06-22,25
2017-06-23,34
2017-06-24,21
2017-06-25,18
2017-06-26,42
2017-06-27,24
2017-06-28,28
2017-06-29,27
2017-06-30,18
2017-07-01,22
2017-07-02,16
2017-07-03,30
2017-07-04,24
2017-07-05,19
2017-07-06,29
2017-07-07,31
2017-07-08,25
2017-07-09,23
2017-07-10,19
2017-07-11,100
2017-07-12,50
2017-07-13,42
2017-07-14,30
2017-07-15,27
2017-07-16,26
2017-07-17,32
2017-07-18,24
2017-07-19,26
2017-07-20,30
2017-07-21,26
2017-07-22,20
2017-07-23,20
2017-07-24,30
2017-07-25,32
2017-07-26,26
2017-07-27,23
2017-07-28,24
2017-07-29,17
2017-07-30,25
2017-07-31,31
2017-08-01,32
