類別：所有類別

天,興富發: (台灣)
2018-02-01,38
2018-02-02,25
2018-02-03,31
2018-02-04,0
2018-02-05,0
2018-02-06,50
2018-02-07,38
2018-02-08,0
2018-02-09,25
2018-02-10,0
2018-02-11,0
2018-02-12,31
2018-02-13,0
2018-02-14,0
2018-02-15,0
2018-02-16,0
2018-02-17,0
2018-02-18,44
2018-02-19,0
2018-02-20,0
2018-02-21,33
2018-02-22,44
2018-02-23,0
2018-02-24,28
2018-02-25,0
2018-02-26,34
2018-02-27,25
2018-02-28,0
2018-03-01,0
2018-03-02,52
2018-03-03,27
2018-03-04,0
2018-03-05,55
2018-03-06,33
2018-03-07,0
2018-03-08,43
2018-03-09,33
2018-03-10,35
2018-03-11,0
2018-03-12,40
2018-03-13,39
2018-03-14,34
2018-03-15,32
2018-03-16,26
2018-03-17,32
2018-03-18,39
2018-03-19,50
2018-03-20,55
2018-03-21,45
2018-03-22,54
2018-03-23,53
2018-03-24,37
2018-03-25,100
2018-03-26,51
2018-03-27,27
2018-03-28,58
2018-03-29,50
2018-03-30,27
2018-03-31,35
2018-04-01,0
