類別：所有類別

天,興富發: (台灣)
2017-10-01,0
2017-10-02,51
2017-10-03,79
2017-10-04,0
2017-10-05,46
2017-10-06,0
2017-10-07,61
2017-10-08,55
2017-10-09,0
2017-10-10,54
2017-10-11,50
2017-10-12,0
2017-10-13,72
2017-10-14,56
2017-10-15,0
2017-10-16,44
2017-10-17,55
2017-10-18,60
2017-10-19,0
2017-10-20,43
2017-10-21,0
2017-10-22,0
2017-10-23,49
2017-10-24,48
2017-10-25,0
2017-10-26,0
2017-10-27,63
2017-10-28,0
2017-10-29,0
2017-10-30,52
2017-10-31,0
2017-11-01,51
2017-11-02,75
2017-11-03,50
2017-11-04,0
2017-11-05,0
2017-11-06,51
2017-11-07,55
2017-11-08,49
2017-11-09,71
2017-11-10,62
2017-11-11,57
2017-11-12,44
2017-11-13,0
2017-11-14,0
2017-11-15,0
2017-11-16,0
2017-11-17,0
2017-11-18,0
2017-11-19,0
2017-11-20,53
2017-11-21,100
2017-11-22,0
2017-11-23,0
2017-11-24,97
2017-11-25,0
2017-11-26,0
2017-11-27,67
2017-11-28,0
2017-11-29,0
2017-11-30,48
2017-12-01,59
