證券代碼	簡稱	年月日	收盤價(元)	報酬率％	報酬率-Ln
2542   	興富發       	20160104	    36.0500	    -4.8813	    -5.0044
2515   	中工         	20160104	     6.9200	    -3.3520	    -3.4094
2542   	興富發       	20160105	    37.0000	     2.6352	     2.6011
2515   	中工         	20160105	     6.8400	    -1.1561	    -1.1628
2542   	興富發       	20160106	    36.3000	    -1.8919	    -1.9100
2515   	中工         	20160106	     6.7400	    -1.4620	    -1.4728
2542   	興富發       	20160107	    35.3500	    -2.6171	    -2.6519
2515   	中工         	20160107	     6.6500	    -1.3353	    -1.3443
2542   	興富發       	20160108	    35.6500	     0.8487	     0.8451
2515   	中工         	20160108	     6.6100	    -0.6015	    -0.6033
2542   	興富發       	20160111	    35.6000	    -0.1403	    -0.1404
2515   	中工         	20160111	     6.4000	    -3.1770	    -3.2286
2542   	興富發       	20160112	    34.6000	    -2.8090	    -2.8492
2515   	中工         	20160112	     6.2500	    -2.3438	    -2.3717
2542   	興富發       	20160113	    35.0500	     1.3006	     1.2922
2515   	中工         	20160113	     6.2600	     0.1600	     0.1599
2542   	興富發       	20160114	    34.9500	    -0.2853	    -0.2857
2515   	中工         	20160114	     6.1900	    -1.1182	    -1.1245
2542   	興富發       	20160115	    34.4500	    -1.4306	    -1.4409
2515   	中工         	20160115	     6.1300	    -0.9693	    -0.9740
2542   	興富發       	20160118	    34.4000	    -0.1451	    -0.1452
2515   	中工         	20160118	     6.2100	     1.3051	     1.2966
2542   	興富發       	20160119	    34.0500	    -1.0174	    -1.0227
2515   	中工         	20160119	     6.2500	     0.6441	     0.6421
2542   	興富發       	20160120	    31.8500	    -6.4611	    -6.6793
2515   	中工         	20160120	     6.1100	    -2.2400	    -2.2655
2542   	興富發       	20160121	    29.3000	    -8.0063	    -8.3450
2515   	中工         	20160121	     6.0600	    -0.8183	    -0.8217
2542   	興富發       	20160122	    29.8000	     1.7065	     1.6921
2515   	中工         	20160122	     6.0500	    -0.1650	    -0.1652
2542   	興富發       	20160125	    29.4500	    -1.1745	    -1.1814
2515   	中工         	20160125	     6.1000	     0.8264	     0.8230
2542   	興富發       	20160126	    29.4500	     0.0000	     0.0000
2515   	中工         	20160126	     6.1000	     0.0000	     0.0000
2542   	興富發       	20160127	    29.8000	     1.1885	     1.1814
2515   	中工         	20160127	     6.0800	    -0.3279	    -0.3284
2542   	興富發       	20160128	    30.1000	     1.0067	     1.0017
2515   	中工         	20160128	     6.0500	    -0.4934	    -0.4946
2542   	興富發       	20160129	    30.7500	     2.1595	     2.1365
2515   	中工         	20160129	     6.1700	     1.9835	     1.9641
2542   	興富發       	20160130	    33.0500	     7.4797	     7.2132
2515   	中工         	20160130	     6.2000	     0.4862	     0.4850
2542   	興富發       	20160201	    33.3000	     0.7564	     0.7536
2515   	中工         	20160201	     6.1700	    -0.4839	    -0.4850
2542   	興富發       	20160202	    32.6500	    -1.9520	    -1.9713
2515   	中工         	20160202	     6.1400	    -0.4862	    -0.4874
2542   	興富發       	20160203	    34.0000	     4.1348	     4.0516
2515   	中工         	20160203	     6.1100	    -0.4886	    -0.4898
2542   	興富發       	20160215	    33.6500	    -1.0294	    -1.0347
2515   	中工         	20160215	     6.1500	     0.6547	     0.6525
2542   	興富發       	20160216	    34.4500	     2.3774	     2.3496
2515   	中工         	20160216	     6.1800	     0.4878	     0.4866
2542   	興富發       	20160217	    33.1500	    -3.7736	    -3.8466
2515   	中工         	20160217	     6.1600	    -0.3236	    -0.3241
2542   	興富發       	20160218	    33.5000	     1.0558	     1.0503
2515   	中工         	20160218	     6.1900	     0.4870	     0.4858
2542   	興富發       	20160219	    32.7000	    -2.3881	    -2.4170
2515   	中工         	20160219	     6.1300	    -0.9693	    -0.9740
2542   	興富發       	20160222	    33.6000	     2.7523	     2.7151
2515   	中工         	20160222	     6.1200	    -0.1631	    -0.1633
2542   	興富發       	20160223	    33.1000	    -1.4881	    -1.4993
2515   	中工         	20160223	     6.1800	     0.9804	     0.9756
2542   	興富發       	20160224	    32.9000	    -0.6042	    -0.6061
2515   	中工         	20160224	     6.1600	    -0.3236	    -0.3241
2542   	興富發       	20160225	    32.7000	    -0.6079	    -0.6098
2515   	中工         	20160225	     6.2000	     0.6494	     0.6473
2542   	興富發       	20160226	    32.9000	     0.6116	     0.6098
2515   	中工         	20160226	     6.2800	     1.2903	     1.2821
2542   	興富發       	20160301	    33.3000	     1.2158	     1.2085
2515   	中工         	20160301	     6.3900	     1.7516	     1.7364
2542   	興富發       	20160302	    33.8000	     1.5015	     1.4903
